Year,Guatemala
1960,1461.763385
1961,1480.508039
1962,1488.879126
1963,1584.349573
1964,1610.432972
1965,1632.64278
1966,1673.347465
1967,1692.37911
1968,1788.402712
1969,1820.374777
1970,1870.786667
1971,1921.021554
1972,2005.989331
1973,2084.869277
1974,2159.696804
1975,2145.335661
1976,2246.045347
1977,2361.922881
1978,2419.715445
1979,2472.354117
1980,2502.862158
1981,2457.301607
1982,2312.234026
1983,2197.456663
1984,2154.712733
1985,2090.340766
1986,2044.078968
1987,2067.398714
1988,2098.447546
1989,2131.0788
1990,2146.594857
1991,2173.629982
1992,2225.921064
1993,2259.766535
1994,2296.931221
1995,2355.894116
1996,2371.31183
1997,2420.026945
1998,2484.760248
1999,2522.861417
2000,2554.781528
2001,2554.258619
2002,2591.329436
2003,2594.926125
2004,2614.71279
2005,2638.29047
2006,2717.763497
2007,2825.138099
2008,2854.071962
2009,2806.980441
2010,2825.52407
2011,2880.414655
2012,2903.397849
2013,2947.972105
2014,3007.900213
2015,3069.043518
2016,3100.20621
