departamento,PIB_per_capita,poblacion
1,14654.865311871614,3639725
2,5502.583359599408,196917
3,6413.809557371761,408476
4,2841.710966594324,771887
5,10861.055176058278,823684
6,4447.281194428339,456928
7,3253.9791165468296,487906
8,3705.3634024380444,507905
9,7089.645961795169,936385
10,4277.2875928465755,626419
11,5334.328928231918,386783
12,4681.389763386482,1222951
13,2860.377541927725,1454019
14,2601.343610276273,1119425
15,2997.228256804486,344655
16,3424.98228253698,1407025
17,5385.839495294834,640151
18,6539.42255530219,458107
19,7132.596976437169,275913
20,4013.823897359814,459294
21,3297.5040292184785,413918
22,3875.9549191880064,563958
