"Anio","Departamento","Numero_Afiliados"
2021,"Guatemala",773646
2022,"Guatemala",830606
2023,"Guatemala",862461
2021,"El Progreso",10019
2022,"El Progreso",10790
2023,"El Progreso",11912
2021,"Sacatepéquez",33132
2022,"Sacatepéquez",36768
2023,"Sacatepéquez",39930
2021,"Chimaltenango",25759
2022,"Chimaltenango",27542
2023,"Chimaltenango",30153
2021,"Escuintla",131537
2022,"Escuintla",135977
2023,"Escuintla",140475
2021,"Santa Rosa",16891
2022,"Santa Rosa",17366
2023,"Santa Rosa",18313
2021,"Sololá",12324
2022,"Sololá",12858
2023,"Sololá",13884
2021,"Totonicapán",8005
2022,"Totonicapán",8598
2023,"Totonicapán",9595
2021,"Quetzaltenango",55543
2022,"Quetzaltenango",58505
2023,"Quetzaltenango",63637
2021,"Suchitepéquez",31019
2022,"Suchitepéquez",33248
2023,"Suchitepéquez",35482
2021,"Retalhuleu",28471
2022,"Retalhuleu",29861
2023,"Retalhuleu",31725
2021,"San Marcos",35417
2022,"San Marcos",36733
2023,"San Marcos",38895
2021,"Huehuetenango",26326
2022,"Huehuetenango",28057
2023,"Huehuetenango",30632
2021,"Quiché",19742
2022,"Quiché",20716
2023,"Quiché",23064
2021,"Baja Verapaz",9070
2022,"Baja Verapaz",9602
2023,"Baja Verapaz",10231
2021,"Alta Verapaz",35358
2022,"Alta Verapaz",37080
2023,"Alta Verapaz",40200
2021,"Petén",30418
2022,"Petén",33157
2023,"Petén",35585
2021,"Izabal",39354
2022,"Izabal",42003
2023,"Izabal",42637
2021,"Zacapa",23138
2022,"Zacapa",24382
2023,"Zacapa",26505
2021,"Chiquimula",15879
2022,"Chiquimula",17248
2023,"Chiquimula",19011
2021,"Jalapa",11323
2022,"Jalapa",11923
2023,"Jalapa",12322
2021,"Jutiapa",15877
2022,"Jutiapa",16583
2023,"Jutiapa",18014
