ANIO,DEPARTAMENTO,Numero_Afiliados,POBLACION_OCUPADA,Cobertura_IGSS_entre_ocupados
2021,Guatemala,773646,1512625,51.15
2022,Guatemala,830606,1441623,57.62
2023,Guatemala,862461,1369499,62.98
2021,El Progreso,10019,82643,12.12
2022,El Progreso,10790,78374,13.77
2023,El Progreso,11912,74093,16.08
2021,Sacatepéquez,33132,168428,19.67
2022,Sacatepéquez,36768,161158,22.81
2023,Sacatepéquez,39930,153695,25.98
2021,Chimaltenango,25759,317313,8.12
2022,Chimaltenango,27542,304092,9.06
2023,Chimaltenango,30153,290434,10.38
2021,Escuintla,131537,341170,38.55
2022,Escuintla,135977,325702,41.75
2023,Escuintla,140475,309923,45.33
2021,Santa Rosa,16891,189800,8.9
2022,Santa Rosa,17366,180933,9.6
2023,Santa Rosa,18313,171926,10.65
2021,Sololá,12324,201621,6.11
2022,Sololá,12858,192702,6.67
2023,Sololá,13884,183582,7.56
2021,Totonicapán,8005,209964,3.81
2022,Totonicapán,8598,200644,4.29
2023,Totonicapán,9595,191107,5.02
2021,Quetzaltenango,55543,386830,14.36
2022,Quetzaltenango,58505,369777,15.82
2023,Quetzaltenango,63637,352328,18.06
2021,Suchitepéquez,31019,260375,11.91
2022,Suchitepéquez,33248,248121,13.4
2023,Suchitepéquez,35482,235699,15.05
2021,Retalhuleu,28471,160024,17.79
2022,Retalhuleu,29861,152858,19.54
2023,Retalhuleu,31725,145533,21.8
2021,San Marcos,35417,505613,7
2022,San Marcos,36733,483123,7.6
2023,San Marcos,38895,460153,8.45
2021,Huehuetenango,26326,594933,4.43
2022,Huehuetenango,28057,571493,4.91
2023,Huehuetenango,30632,547096,5.6
2021,Quiché,19742,459991,4.29
2022,Quiché,20716,440913,4.7
2023,Quiché,23064,421200,5.48
2021,Baja Verapaz,9070,141801,6.4
2022,Baja Verapaz,9602,135836,7.07
2023,Baja Verapaz,10231,129681,7.89
2021,Alta Verapaz,35358,576128,6.14
2022,Alta Verapaz,37080,553238,6.7
2023,Alta Verapaz,40200,529414,7.59
2021,Petén,30418,264614,11.5
2022,Petén,33157,252859,13.11
2023,Petén,35585,240866,14.77
2021,Izabal,39354,189810,20.73
2022,Izabal,42003,181177,23.18
2023,Izabal,42637,172369,24.74
2021,Zacapa,23138,114990,20.12
2022,Zacapa,24382,109429,22.28
2023,Zacapa,26505,103816,25.53
2021,Chiquimula,15879,190271,8.35
2022,Chiquimula,17248,181622,9.5
2023,Chiquimula,19011,172816,11
2021,Jalapa,11323,170443,6.64
2022,Jalapa,11923,163205,7.31
2023,Jalapa,12322,155743,7.91
2021,Jutiapa,15877,234728,6.76
2022,Jutiapa,16583,223540,7.42
2023,Jutiapa,18014,212197,8.49
