ANIO,DEPTO,POBLACION_2023,P06B01_1,P06B01_2,TOTAL,%Analfabetismo
2023,Alta Verapaz,1407025,1450,652,2102,31.02
2023,Baja Verapaz,344655,1261,329,1590,20.69
2023,Chimaltenango,771887,1606,288,1894,15.21
2023,Chiquimula,459294,1092,355,1447,24.53
2023,El Progreso,196917,1520,243,1763,13.78
2023,Escuintla,823684,2054,306,2360,12.97
2023,Guatemala,3639725,2599,246,2845,8.65
2023,Huehuetenango,1454019,1178,419,1597,26.24
2023,Izabal,458107,1522,343,1865,18.39
2023,Jalapa,413918,1173,353,1526,23.13
2023,Jutiapa,563958,1543,279,1822,15.31
2023,Petén,640151,1300,297,1597,18.6
2023,Quetzaltenango,936385,1507,285,1792,15.9
2023,Quiché,1119425,1222,536,1758,30.49
2023,Retalhuleu,386783,1244,202,1446,13.97
2023,Sacatepéquez,408476,2082,217,2299,9.44
2023,San Marcos,1222951,1327,273,1600,17.06
2023,Santa Rosa,456928,1156,202,1358,14.87
2023,Sololá,487906,1105,333,1438,23.16
2023,Suchitepéquez,626419,1520,386,1906,20.25
2023,Totonicapán,507905,1176,299,1475,20.27
2023,Zacapa,275913,1373,293,1666,17.59
