DEPARTAMENTO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Guatemala,22297.74021189,25834.026432,30210.62878396,31598.938195529998,30668.532913619998,33626.114627200004,39070.805031749995,41182.177689059994,44213.25495416001,47279.790946270004,48188.55152153,52207.83315089,53978.268579530006,55798.13795527999,59149.54620558,57302.69030475,73878.59650982,83443.91590970867,89914.306845059,96916.05066159,70423.08989016702
Sacatepéquez,108.34266165999999,132.21168291,148.83324094,154.58575085,170.49870013999998,180.47509153000001,193.61171786999998,199.26543483,224.93904399000002,256.64624922,255.63792157,292.87318855,345.94277475,372.27875166,404.57671051000005,373.89546387999997,527.27202094,646.8191593600113,680.2010706399999,785.1630545200001,609.6657326
Chimaltenango,70.98950300000001,81.95427739,88.85805869,95.99194655,92.60010036999999,87.41977918999999,107.32401073,115.31022322999999,123.98431089000002,127.15393230999999,138.86099419,165.03715491,205.41367791000002,229.99673954000002,252.14700747,250.75183916,326.91694141000005,419.88250520001657,494.4627994500002,543.50072129,445.9502181699982
El Progreso,19.58372553,23.77006894,28.65851948,32.20632194,35.348900029999996,40.410151649999996,42.829977760000006,39.11232184000001,41.39054128000001,54.666739129999996,44.755341529999995,53.68018978,65.30499068999998,66.86458975,72.13844275999999,69.21275519999999,92.53623054,104.9730626700008,123.0567326800001,151.77516004,122.9948278700003
Escuintla,286.09496586,333.71086686999996,382.0669983,407.40451748,361.3901787100001,407.14214474999994,518.2782971799999,478.35075811999997,567.1518459800001,621.0851343899999,661.55562363,779.47850499,815.55653321,841.3658470400001,910.1523711799998,834.0483204900002,1103.7203541099998,1285.4440422101404,1319.4721071799988,1549.50324618,1124.8161995800087
Retalhuleu,48.73026481000001,52.85391660999999,58.27107372,69.74638694000001,81.04046312999999,74.62157582,79.10844501,94.97615355,84.51557842,81.97289031000001,81.86485795999998,92.28360518000001,119.99650627,129.18157156,143.71593528000002,160.3613449,181.78663461999997,209.2802667999981,263.94214343000016,305.31648968,239.54444436999947
Suchitepéquez,80.02188921000001,88.46496289,89.52294393000001,99.19667302999999,108.24763693,93.17007511,101.99199542,100.45408558,121.58482923,107.44542039999999,107.27643923999999,115.81401039999999,142.452482,142.41957361,160.80275753,153.75580673,210.48138006999997,251.2273949999957,293.93849528000004,342.31986911999996,278.3738928899996
Santa Rosa,108.31699814999999,131.13538573,143.81349003,93.64351989,43.97281221,47.29586486,56.40699349,62.95163814,65.95068654,62.71929007999999,66.96905562,78.22559463,96.87795797,99.69874044,106.79710466,102.80252046000001,129.98249784,140.52173071999727,160.54510325000012,189.28081719999997,151.2000476500012
Jutiapa,45.50220347,59.905383889999996,64.65137684999999,70.59381631,74.21974445,79.20875406,89.02513350000001,95.195973,95.43940719000001,91.16995164,95.69257007,109.69899045,135.64621754,150.46648052,163.78856919999998,165.47434446,220.32799720000003,216.51457614999447,245.91618621000023,269.91987171,223.52788772
Izabal,68.85174718,90.24780246,104.58095078999999,116.73191488999998,118.02477132000001,123.78859087999999,135.50107628,159.89908688,190.98662643000003,185.21841759,215.79015604,236.78090955000002,281.56144026,288.31886842000006,290.21023806,259.97869338000004,320.90195039,364.9623800800103,376.32967929999995,409.86486454000004,326.5325270100004
Chiquimula,62.45688483,71.29915082,73.97847447000001,77.10221519,84.8534313,97.27299549000001,116.81227675999999,112.85281173,131.16705319,134.89982098,134.02378945,152.47990506,197.93857417,196.29683408,212.10557191999996,198.86804362999996,239.74715896,290.4100948000002,357.31645973000013,394.29567731000003,301.24077612699944
Zacapa,110.92241026999999,109.93137983999999,117.30147141999998,117.53867113999999,115.05772993000001,109.16769526999998,131.34702642000002,140.52942997999997,176.72431925,220.64333124,283.61227888,310.00530997,335.60639032,384.37403012000004,441.62704256,426.89166586,619.5298160099999,651.0403766100179,660.3699158600001,590.9367999000001,427.20421820000035
Alta Verapaz,45.403485180000004,52.29049107999999,59.654724370000004,70.71346897000001,86.86478828,112.00031972000001,119.46363274000001,131.15852141,154.33748393000002,134.12156302,132.52198598,145.05899626000001,164.39209793,181.96934002,207.93279331000002,210.84744613,246.06801489999998,283.1617093800024,346.2395129000001,345.80345774000006,270.4677643799994
Baja Verapaz,10.11313908,12.779442169999998,15.628993249999999,18.672773730000003,22.331746749999994,23.32077404,25.55202612,30.07462603,31.906923949999996,27.849080699999995,31.122311749999998,37.3910457,42.30746929,45.17605832,48.9822858,44.99063819999999,52.30170036999999,58.95989719000016,72.13028074999995,80.46970162999999,67.24235176000039
Petén,27.912739149999997,34.14639734,38.13112073,46.29643941999999,47.81602777,58.11357255,76.87884142,88.40009925,100.76916421999998,91.39728492000002,93.18157597000001,107.20685936999999,123.43835580999999,127.20464830999998,132.96296891,128.17228577,164.55718078,201.1642193899947,244.24264990000026,263.81172875,221.634285269999
Jalapa,18.08570285,23.231428009999995,23.228463610000002,26.186146729999997,30.518840450000006,33.957478259999995,38.77787281,42.792030690000004,49.80079029,46.92141826,47.25856472000001,48.434880250000006,56.45305202,59.54852893,65.68451454,61.433561899999994,81.10465038000002,103.71506590000199,124.70578182999998,132.71008743,111.71692798000075
San Marcos,71.77158664,82.07234079,85.80582992,99.36364532,167.17383646,125.99964725999997,122.59744816999999,119.46066272,126.75071537,115.91372512000001,129.11429185,151.61945688,184.17005999,191.56844087,203.76543544000003,190.47581829,246.32542487999999,272.7462421000013,306.7106994000004,356.68339354999995,294.70291066399966
Huehuetenango,75.76271059,92.76176309,95.38886771999998,98.86030353000001,100.26760042000001,105.50304223,126.80874979000001,132.17085387,144.91035878,126.72517666999998,137.18680699,155.32243993,190.83329248,201.22242337,237.68224515,249.16741986,332.63862200999995,382.1003561200094,430.4647494600003,475.72602582999997,400.6409326399975
Quetzaltenango,342.38545802,385.6715861,393.35389672,420.56038161000004,399.92641046999995,434.87894896,480.98658202999997,514.34627862,536.94540957,534.22689701,579.0203619399999,648.9637684600001,737.1926056200001,770.3406234000001,803.6628355299998,704.4104772,910.0136364399999,1033.4680462500796,1163.2178674900008,1324.2528003,992.5356388000068
Totonicapán,26.22458867,29.078285560000005,29.938236109999995,33.96816167,38.821389700000005,43.063118309999986,46.03694935,48.24041293,55.34949303,59.384290119999996,59.266955270000004,74.29372755,91.52155541,108.94714592000003,127.73559706,110.21621309,141.35469383,153.81089897999678,186.88026363000012,210.91813185000004,158.4983225800008
Sololá,18.881645440000003,23.130351490000002,26.37314368,32.885624299999996,33.8676279,38.139506020000006,38.358828700000004,41.375449259999996,48.38756678,50.01565742999999,52.83567886,67.71091089000001,75.60047496,81.71695354,90.51593804000001,77.61925406000002,101.93256653,127.61161931999936,153.04273978999998,183.23062153,150.4731457900007
Quiché,27.119411559999996,34.69008097,36.818048430000005,43.11060468,50.13378745000001,60.62666784,73.26418912999999,81.60208643,90.95762437,83.08102858,89.69923884999999,105.19463224,132.07464513,134.24289170999998,158.02529712,155.05986953000001,201.01772584,229.442808319997,262.66609227,328.40163949000004,265.93221560600085
