"","Anio","PIB_nominal","PIB_real","PIB_nominal_var","Deflector","Inf_medio","Inf_medio_var","Poblacion","Importaciones","Exportaciones","Fecha"
"1",1980,171.19,7.718,3.7,4.508,2.502,10.667,7.045,"-3.212","-1.244",1980-01-01
"2",1981,172.292,8.431,0.644,4.894,2.787,11.4,7.224,"-1.086","-11.402",1981-01-01
"3",1982,166.191,8.539,-3.542,5.138,2.924,4.898,7.408,"-21.257","-10.711",1982-01-01
"4",1983,161.99,8.864,-2.528,5.472,3.12,6.719,7.597,"-16.601","-13.353",1983-01-01
"5",1984,162.817,9.276,0.51,5.697,3.22,3.208,7.791,"6.406","-0.448",1984-01-01
"6",1985,161.84,10.951,-0.6,6.766,3.838,19.176,7.991,"-6.02","8.559",1985-01-01
"7",1986,162.002,15.513,0.1,9.576,5.096,32.78,8.196,"-9.253","-12.033",1986-01-01
"8",1987,167.799,17.348,3.579,10.338,5.649,10.848,8.405,"23.846","-2.164",1987-01-01
"9",1988,174.33,20.124,3.892,11.543,6.23,10.295,8.618,"3.78","6.53",1988-01-01
"10",1989,181.204,23.199,3.943,12.803,7.039,12.988,8.833,"5.591","12.927",1989-01-01
"11",1990,186.824,33.613,3.101,17.992,9.713,37.977,9.05,"-8.069","12.7",1990-01-01
"12",1991,192.428,46.069,3,23.941,13.123,35.105,9.297,"10.378","10.933",1991-01-01
"13",1992,201.28,52.48,4.6,26.073,14.467,10.245,9.544,"37.625","16.118",1992-01-01
"14",1993,208.123,62.169,3.4,29.871,16.4,13.362,9.791,"8.416","5.056",1993-01-01
"15",1994,215.408,71.898,3.5,33.378,18.452,12.51,10.038,"5.806","-6.883",1994-01-01
"16",1995,224.886,81.579,4.4,36.276,20.004,8.414,10.287,"6.615","16.383",1995-01-01
"17",1996,231.183,91.325,2.8,39.504,22.217,11.06,10.537,"-6.386","1.723",1996-01-01
"18",1997,240.661,102.966,4.1,42.785,24.268,9.231,10.788,"27.334","5.528",1997-01-01
"19",1998,251.731,117.92,4.6,46.843,25.872,6.61,11.046,"29.822","25.609",1998-01-01
"20",1999,261.045,128.437,3.7,49.201,27.22,5.212,11.311,"1.046","16.745",1999-01-01
"21",2000,267.572,140.702,2.5,52.585,28.847,5.976,11.59,"8.647","8.634",2000-01-01
"22",2001,275.876,154.989,3.104,56.181,30.951,7.294,11.872,"11.206","4.732",2001-01-01
"23",2002,286.467,171.446,3.839,59.848,33.468,8.134,12.148,"6.366","-0.29",2002-01-01
"24",2003,293.802,183.286,2.56,62.384,35.343,5.602,12.415,"-0.577","2.804",2003-01-01
"25",2004,303.021,198.552,3.138,65.524,38.02,7.573,12.682,"7.878","8.15",2004-01-01
"26",2005,312.948,215.183,3.276,68.76,41.484,9.111,12.948,"-0.602","-1.383",2005-01-01
"27",2006,329.696,238.023,5.351,72.195,44.206,6.561,13.213,"6.447","4.659",2006-01-01
"28",2007,350.591,268.824,6.338,76.677,47.222,6.822,13.477,"7.827","9.584",2007-01-01
"29",2008,362.138,304.329,3.294,84.037,52.582,11.351,13.739,"-5.729","-0.466",2008-01-01
"30",2009,363.865,309.986,0.477,85.193,53.561,1.862,14,"-7.706","-1.821",2009-01-01
"31",2010,374.359,334.434,2.884,89.335,55.677,3.95,14.26,"10.004","5.799",2010-01-01
"32",2011,389.947,369.35,4.164,94.718,59.127,6.197,14.522,"6.97","2.9",2011-01-01
"33",2012,401.547,390.926,2.975,97.355,61.374,3.8,14.782,"2.777","1.951",2012-01-01
"34",2013,416.383,416.383,3.695,100,64.038,4.341,15.044,"4.566","5.975",2013-01-01
"35",2014,434.887,447.326,4.444,102.86,66.23,3.423,15.306,"3.37","6.927",2014-01-01
"36",2015,452.684,476.023,4.092,105.156,67.811,2.388,15.567,"3.648","2.838",2015-01-01
"37",2016,464.805,502.002,2.678,108.003,70.829,4.45,15.828,"0.942","2.359",2016-01-01
"38",2017,479.121,526.507,3.08,109.89,73.962,4.423,16.087,"2.825","1.49",2017-01-01
"39",2018,495.444,551.368,3.407,111.288,76.737,3.752,16.347,"3.927","-0.37",2018-01-01
"40",2019,515.35,593.972,4.018,115.256,79.576,3.701,16.604,"4.857","0.232",2019-01-01
"41",2020,506.148,600.123,-1.786,118.567,82.133,3.212,16.858,"-5.769","-7.526",2020-01-01
"42",2021,546.809,668.861,8.033,122.321,85.634,4.263,17.11,"19.457","10.208",2021-01-01
"43",2022,569.776,740.969,4.2,130.046,91.528,6.882,17.358,"4.801","7.52",2022-01-01
"44",2023,589.87,818.054,3.527,138.684,97.211,6.209,17.602,"5.905","-2.522",2023-01-01
"45",2024,611.628,873.498,3.689,142.815,100,2.869,17.85,"11.066","3.05",2024-01-01
"46",2025,636.704,936.416,4.1,147.072,102.972,2.972,18.091,"6.97","4.422",2025-01-01
